Time,Signal,Price,EMA9,EMA21,RSI,Volume,VolumeMA,4H,Reason
2026-03-25 23:30:00,HOLD,70848.76,70988.96,71115.79,41.87,125.49,238.11,true,No active cross event
2026-03-25 23:45:00,HOLD,70810.34,70953.24,71088.02,41.01,133.18,233.87,true,No active cross event
2026-03-26 00:00:00,HOLD,70851.83,70932.96,71066.55,42.39,105.22,221.87,true,No active cross event
2026-03-26 00:15:00,HOLD,70970.65,70940.50,71057.83,46.25,142.12,216.98,true,No active cross event
2026-03-26 00:30:00,HOLD,70940.00,70940.40,71047.12,45.41,92.43,215.65,true,No active cross event
2026-03-26 00:45:00,HOLD,70883.31,70928.98,71032.23,43.81,173.29,219.00,true,No active cross event
2026-03-26 01:00:00,HOLD,70743.67,70891.92,71006.00,40.07,142.28,200.54,true,No active cross event
2026-03-26 01:15:00,HOLD,70710.85,70855.70,70979.17,39.22,194.91,185.67,true,No active cross event
2026-03-26 01:30:00,HOLD,70946.29,70873.82,70976.18,47.76,101.25,180.01,true,No active cross event
2026-03-26 01:45:00,HOLD,71009.50,70900.96,70979.21,49.80,135.14,178.44,true,No active cross event
2026-03-26 02:00:00,HOLD,71164.66,70953.70,70996.07,54.49,138.12,172.57,true,No active cross event
2026-03-26 02:15:00,HOLD,70984.04,70959.77,70994.97,48.77,118.03,145.93,true,No active cross event
2026-03-26 02:30:00,HOLD,71067.98,70981.41,71001.61,51.33,71.05,137.25,true,No active cross event
2026-03-26 02:45:00,HOLD,71035.24,70992.18,71004.67,50.28,52.67,133.24,true,No active cross event
2026-03-26 03:00:00,HOLD,70993.18,70992.38,71003.62,48.89,89.89,131.41,true,No active cross event
2026-03-26 03:15:00,HOLD,71042.87,71002.47,71007.19,50.62,30.27,121.10,true,No active cross event
2026-03-26 03:30:00,HOLD,71374.34,71076.85,71040.57,60.30,314.81,129.61,true,RSI not oversold
2026-03-26 03:45:00,HOLD,71369.08,71135.29,71070.43,60.10,70.91,125.38,true,RSI not oversold
2026-03-26 04:00:00,HOLD,71327.70,71173.78,71093.82,58.45,170.47,126.64,true,RSI not oversold
2026-03-26 04:15:00,HOLD,71359.59,71210.94,71117.98,59.37,79.53,124.05,true,RSI not oversold
2026-03-26 04:30:00,HOLD,71216.47,71212.04,71126.93,53.59,89.00,122.23,true,No active cross event
2026-03-26 04:45:00,HOLD,71336.53,71236.94,71145.99,57.34,44.34,117.79,true,No active cross event
2026-03-26 05:00:00,HOLD,71250.00,71239.55,71155.44,53.96,100.42,117.55,true,No active cross event
2026-03-26 05:15:00,HOLD,71306.60,71252.96,71169.19,55.80,169.08,118.89,true,No active cross event
2026-03-26 05:30:00,HOLD,71355.88,71273.55,71186.16,57.39,147.95,121.67,true,No active cross event
2026-03-26 05:45:00,HOLD,71299.27,71278.69,71196.44,54.94,130.97,119.55,true,No active cross event
2026-03-26 06:00:00,HOLD,71269.60,71276.87,71203.09,53.65,119.46,118.41,true,No active cross event
2026-03-26 06:15:00,HOLD,71319.69,71285.44,71213.69,55.55,68.95,112.12,true,No active cross event
2026-03-26 06:30:00,HOLD,71259.48,71280.24,71217.85,52.74,284.64,121.29,true,No active cross event
2026-03-26 06:45:00,HOLD,71252.11,71274.62,71220.97,52.40,49.11,116.98,true,No active cross event
2026-03-26 07:00:00,HOLD,71091.99,71238.09,71209.24,45.38,57.35,112.95,true,No active cross event
2026-03-26 07:15:00,HOLD,70894.93,71169.46,71180.67,38.54,278.87,120.99,true,RSI not overbought
2026-03-26 07:30:00,HOLD,70868.64,71109.30,71152.30,37.72,189.54,126.91,true,RSI not overbought
2026-03-26 07:45:00,HOLD,70893.01,71066.04,71128.73,39.01,50.13,126.79,true,RSI not overbought
2026-03-26 08:00:00,HOLD,70968.66,71046.56,71114.18,42.96,62.95,125.44,true,RSI not overbought
2026-03-26 08:15:00,HOLD,70713.14,70979.88,71077.72,34.77,85.87,128.22,true,No active cross event
2026-03-26 08:30:00,HOLD,70850.74,70954.05,71057.09,41.26,144.75,119.72,true,No active cross event
2026-03-26 08:45:00,HOLD,70921.47,70947.53,71044.76,44.33,216.98,127.02,true,No active cross event
2026-03-26 09:00:00,HOLD,70755.06,70909.04,71018.42,39.15,145.76,125.78,true,No active cross event
2026-03-26 09:15:00,HOLD,70868.66,70900.96,71004.81,43.97,54.78,124.55,true,No active cross event
2026-03-26 09:30:00,HOLD,70839.99,70888.77,70989.82,43.04,104.50,125.32,true,No active cross event
2026-03-26 09:45:00,HOLD,70772.01,70865.42,70970.02,40.84,128.08,129.51,true,No active cross event
2026-03-26 10:00:00,HOLD,70559.07,70804.15,70932.66,34.85,508.80,149.93,true,No active cross event
2026-03-26 10:15:00,HOLD,70577.20,70758.76,70900.35,35.71,124.62,147.70,true,No active cross event
